Year,Month,Model,Units_Sold,Price,Revenue,Dealer,Region,Fuel_Type,Transmission
2024,10,M3,18,65126.84,1172283.1199999999,Dealer_42,Africa,Petrol,Automatic
2018,6,M3,22,67042.11,1474926.42,Dealer_7,North America,Petrol,Manual
2024,10,7 Series,18,92752.78,1669550.04,Dealer_17,Asia,Electric,Automatic
2021,10,i3,22,43009.97,946219.3400000001,Dealer_9,North America,Petrol,Manual
2014,10,X6,23,73775.64,1696839.72,Dealer_42,Asia,Hybrid,Manual
2012,8,X3,17,51887.94,882094.98,Dealer_19,Asia,Petrol,Manual
2010,4,i8,24,160405.72,3849737.2800000003,Dealer_36,North America,Electric,Automatic
2013,4,M5,18,123117.76,2216119.6799999997,Dealer_5,Asia,Diesel,Automatic
2021,12,i3,22,48596.79,1069129.3800000001,Dealer_22,South America,Hybrid,Automatic
2016,6,7 Series,31,79173.62,2454382.2199999997,Dealer_3,Middle East,Diesel,Manual
2020,4,Z4,17,48454.11,823719.87,Dealer_40,Europe,Diesel,Automatic
2021,6,Z4,24,50638.68,1215328.32,Dealer_26,Europe,Petrol,Automatic
2010,2,X5,20,59085.34,1181706.7999999998,Dealer_8,Europe,Hybrid,Automatic
2013,11,M3,22,82166.88,1807671.36,Dealer_24,North America,Petrol,Manual
2013,5,7 Series,20,82083.1,1641662.0,Dealer_17,Africa,Diesel,Automatic
2023,9,X1,16,33374.69,533995.04,Dealer_2,Europe,Hybrid,Manual
2010,11,7 Series,37,86162.53,3188013.61,Dealer_8,Asia,Diesel,Automatic
2017,4,X5,14,74285.01,1039990.1399999999,Dealer_43,Europe,Electric,Manual
2011,3,7 Series,28,96769.9,2709557.1999999997,Dealer_13,South America,Electric,Automatic
2015,10,X6,18,83516.61,1503298.98,Dealer_16,North America,Diesel,Automatic
2022,3,X5,24,63319.85,1519676.4,Dealer_41,Asia,Diesel,Automatic
2013,12,5 Series,22,62446.98,1373833.56,Dealer_43,South America,Petrol,Manual
2018,7,M5,23,118160.79,2717698.17,Dealer_24,Middle East,Electric,Manual
2015,12,X5,24,68746.78,1649922.72,Dealer_31,Africa,Electric,Automatic
2014,10,X6,17,76400.22,1298803.74,Dealer_38,Africa,Petrol,Manual
2013,4,i3,24,52152.77,1251666.48,Dealer_26,Europe,Hybrid,Automatic
2024,7,M3,17,66301.4,1127123.7999999998,Dealer_24,Asia,Petrol,Manual
2022,2,X3,18,49600.88,892815.84,Dealer_23,Europe,Petrol,Automatic
2018,10,X5,12,66809.0,801708.0,Dealer_30,Middle East,Electric,Automatic
2022,8,X5,24,63823.88,1531773.1199999999,Dealer_2,Europe,Electric,Manual
2014,11,5 Series,23,55425.03,1274775.69,Dealer_6,Asia,Petrol,Automatic
2024,4,5 Series,25,51456.7,1286417.5,Dealer_24,North America,Diesel,Automatic
2013,11,X5,29,63375.46,1837888.34,Dealer_48,Africa,Hybrid,Manual
2021,10,7 Series,17,101959.33,1733308.61,Dealer_49,Africa,Hybrid,Manual
2022,5,X3,24,55041.25,1320990.0,Dealer_26,Middle East,Petrol,Automatic
2020,9,7 Series,21,98569.39,2069957.19,Dealer_15,Europe,Diesel,Automatic
2013,9,M3,19,79505.47,1510603.93,Dealer_49,Middle East,Electric,Automatic
2022,2,X5,22,74993.13,1649848.86,Dealer_28,Africa,Electric,Manual
2017,8,i8,18,127264.37,2290758.66,Dealer_9,South America,Diesel,Automatic
2021,1,i3,28,51440.42,1440331.76,Dealer_23,Asia,Diesel,Automatic
2016,11,X6,25,79019.67,1975491.75,Dealer_45,South America,Hybrid,Automatic
2019,1,M3,23,79492.51,1828327.73,Dealer_9,Europe,Hybrid,Automatic
2016,4,X6,24,64337.89,1544109.3599999999,Dealer_25,Europe,Electric,Manual
2015,10,i3,20,49126.54,982530.8,Dealer_20,North America,Diesel,Manual
2020,9,7 Series,30,77317.51,2319525.3,Dealer_45,South America,Electric,Manual
2012,4,5 Series,26,64537.2,1677967.2,Dealer_25,Asia,Diesel,Manual
2014,11,i8,20,128939.14,2578782.8,Dealer_4,Asia,Petrol,Manual
2015,7,X6,18,66297.74,1193359.32,Dealer_8,Europe,Electric,Automatic
2021,2,X6,12,83057.03,996684.36,Dealer_14,Europe,Diesel,Automatic
2016,12,M5,29,109455.57,3174211.5300000003,Dealer_39,South America,Hybrid,Manual
2018,12,M5,25,108957.13,2723928.25,Dealer_13,North America,Diesel,Automatic
2011,7,M3,23,79958.88,1839054.2400000002,Dealer_34,Asia,Electric,Automatic
2017,10,3 Series,16,47089.86,753437.76,Dealer_19,Africa,Electric,Automatic
2021,12,X3,13,48831.7,634812.1,Dealer_12,Middle East,Diesel,Manual
2024,10,Z4,23,51481.15,1184066.45,Dealer_25,Africa,Diesel,Manual
2016,12,3 Series,26,40820.16,1061324.1600000001,Dealer_11,Asia,Hybrid,Manual
2021,12,Z4,14,58533.52,819469.2799999999,Dealer_32,Middle East,Petrol,Automatic
2011,2,i8,18,158194.64,2847503.5200000005,Dealer_21,Middle East,Electric,Manual
2014,4,i8,21,127874.68,2685368.28,Dealer_2,North America,Electric,Automatic
2015,12,X6,19,80971.24,1538453.56,Dealer_26,North America,Petrol,Automatic
2011,12,7 Series,31,84841.31,2630080.61,Dealer_48,Middle East,Electric,Automatic
2011,2,i8,19,153594.95,2918304.0500000003,Dealer_46,Middle East,Diesel,Automatic
2023,5,7 Series,14,80850.02,1131900.28,Dealer_2,South America,Petrol,Manual
2014,2,i8,22,157140.75,3457096.5,Dealer_11,North America,Petrol,Automatic
2012,8,X5,23,61969.83,1425306.09,Dealer_46,North America,Diesel,Automatic
2021,1,M5,20,120062.62,2401252.4,Dealer_42,Africa,Petrol,Automatic
2021,5,i3,16,41207.61,659321.76,Dealer_1,North America,Electric,Manual
2024,4,X5,16,76220.75,1219532.0,Dealer_13,North America,Petrol,Automatic
2010,1,X5,17,74500.27,1266504.59,Dealer_44,Africa,Petrol,Manual
2024,2,M5,16,99788.31,1596612.96,Dealer_11,North America,Electric,Manual
2023,6,X5,24,69460.06,1667041.44,Dealer_13,South America,Diesel,Automatic
2016,2,X1,21,33744.69,708638.49,Dealer_23,Asia,Diesel,Manual
2016,11,X5,13,58733.64,763537.32,Dealer_14,Middle East,Diesel,Manual
2020,5,M5,17,114153.15,1940603.5499999998,Dealer_3,North America,Diesel,Automatic
2014,10,i3,14,53771.88,752806.32,Dealer_7,Africa,Diesel,Automatic
2011,10,X5,21,77637.61,1630389.81,Dealer_45,Middle East,Diesel,Automatic
2012,11,Z4,17,49769.5,846081.5,Dealer_43,Middle East,Petrol,Automatic
2010,10,M3,19,72427.14,1376115.66,Dealer_33,Africa,Diesel,Manual
2013,1,M3,23,78937.76,1815568.48,Dealer_8,Asia,Diesel,Automatic
2022,4,M3,20,64667.18,1293343.6,Dealer_9,Asia,Electric,Automatic
2013,3,X6,21,67292.09,1413133.89,Dealer_3,Europe,Electric,Automatic
2012,5,X5,24,71050.24,1705205.7600000002,Dealer_49,North America,Electric,Automatic
2022,1,X1,21,40392.82,848249.22,Dealer_22,Asia,Diesel,Manual
2018,1,M5,27,125633.85,3392113.95,Dealer_44,Africa,Diesel,Automatic
2018,6,7 Series,21,87780.2,1843384.2,Dealer_1,North America,Electric,Manual
2013,1,M5,22,125748.4,2766464.8,Dealer_14,Europe,Petrol,Manual
2019,9,X1,19,33981.26,645643.9400000001,Dealer_6,Middle East,Electric,Automatic
2012,12,X1,24,34071.71,817721.04,Dealer_12,South America,Diesel,Automatic
2014,10,i3,19,53564.3,1017721.7000000001,Dealer_13,Asia,Electric,Manual
2015,7,X6,17,66523.09,1130892.53,Dealer_29,Middle East,Electric,Manual
2023,8,3 Series,20,47400.31,948006.2,Dealer_28,North America,Hybrid,Manual
2018,12,7 Series,25,83060.94,2076523.5,Dealer_30,Asia,Electric,Automatic
2016,9,M3,21,73097.73,1535052.3299999998,Dealer_22,Europe,Electric,Manual
2012,4,3 Series,23,37961.71,873119.33,Dealer_33,Africa,Hybrid,Automatic
2016,7,X6,17,83380.35,1417465.9500000002,Dealer_24,Middle East,Electric,Automatic
2020,10,5 Series,24,56245.0,1349880.0,Dealer_3,North America,Electric,Manual
2013,7,X3,26,54306.29,1411963.54,Dealer_49,Africa,Hybrid,Automatic
2020,12,X5,19,72080.88,1369536.7200000002,Dealer_42,Middle East,Electric,Manual
2013,8,3 Series,20,49410.5,988210.0,Dealer_24,Africa,Petrol,Manual
2014,10,i3,20,53247.58,1064951.6,Dealer_10,Asia,Diesel,Manual
2010,2,5 Series,19,60132.56,1142518.64,Dealer_25,Middle East,Petrol,Manual
2024,7,7 Series,28,97658.61,2734441.08,Dealer_17,Africa,Hybrid,Automatic
2019,5,Z4,19,51174.13,972308.47,Dealer_47,North America,Petrol,Automatic
2023,3,X3,34,53981.71,1835378.14,Dealer_48,Middle East,Hybrid,Manual
2012,8,3 Series,23,39020.57,897473.11,Dealer_50,Africa,Electric,Automatic
2020,5,Z4,19,51464.24,977820.5599999999,Dealer_12,Asia,Diesel,Manual
2013,8,7 Series,22,89316.65,1964966.2999999998,Dealer_8,Middle East,Diesel,Manual
2013,1,Z4,17,47740.94,811595.98,Dealer_49,Europe,Hybrid,Automatic
2017,11,M3,19,65293.1,1240568.9,Dealer_41,Europe,Petrol,Automatic
2011,7,5 Series,19,54066.58,1027265.02,Dealer_22,North America,Diesel,Automatic
2017,11,5 Series,24,49656.86,1191764.6400000001,Dealer_18,North America,Petrol,Manual
2013,9,3 Series,24,42533.39,1020801.36,Dealer_34,Asia,Electric,Automatic
2022,6,M3,17,72018.53,1224315.01,Dealer_24,Africa,Hybrid,Automatic
2023,4,X5,21,71469.03,1500849.63,Dealer_25,South America,Petrol,Automatic
2023,6,5 Series,25,49550.9,1238772.5,Dealer_45,Middle East,Diesel,Manual
2019,2,i8,22,137737.64,3030228.08,Dealer_45,Europe,Hybrid,Automatic
2019,11,M5,25,121900.37,3047509.25,Dealer_33,Middle East,Diesel,Manual
2020,6,3 Series,25,45785.59,1144639.75,Dealer_3,Africa,Hybrid,Automatic
2013,10,i3,25,45902.23,1147555.75,Dealer_40,North America,Hybrid,Automatic
2024,8,M5,15,121498.65,1822479.75,Dealer_7,Africa,Electric,Automatic
2019,4,Z4,23,47147.42,1084390.66,Dealer_34,South America,Petrol,Manual
2017,2,X3,16,55185.9,882974.4,Dealer_36,Middle East,Diesel,Automatic
2011,8,M5,27,111531.04,3011338.0799999996,Dealer_16,Europe,Diesel,Manual
2011,7,Z4,28,45438.33,1272273.24,Dealer_21,Middle East,Hybrid,Manual
2021,5,M5,22,109503.52,2409077.44,Dealer_43,North America,Diesel,Automatic
2011,12,X5,27,75502.84,2038576.68,Dealer_37,South America,Petrol,Automatic
2016,12,Z4,23,56040.04,1288920.92,Dealer_25,Africa,Electric,Manual
2013,5,5 Series,21,54301.11,1140323.31,Dealer_8,North America,Hybrid,Manual
2021,2,M3,18,70722.48,1273004.64,Dealer_21,Middle East,Petrol,Automatic
2010,10,i8,18,133974.02,2411532.36,Dealer_25,Middle East,Hybrid,Automatic
2022,11,7 Series,17,89753.66,1525812.22,Dealer_39,South America,Diesel,Manual
2016,1,i8,28,161799.21,4530377.88,Dealer_21,Europe,Hybrid,Manual
2017,11,i3,16,42490.24,679843.84,Dealer_19,Europe,Petrol,Automatic
2014,9,Z4,24,46851.96,1124447.04,Dealer_46,South America,Electric,Manual
2017,5,Z4,26,59497.44,1546933.44,Dealer_4,Asia,Diesel,Manual
2023,12,X1,25,38854.28,971357.0,Dealer_4,Europe,Electric,Automatic
2014,11,7 Series,24,101772.11,2442530.64,Dealer_36,Middle East,Hybrid,Automatic
2020,8,X5,30,73275.43,2198262.9,Dealer_26,North America,Hybrid,Automatic
2021,4,Z4,19,57843.78,1099031.82,Dealer_26,North America,Diesel,Automatic
2022,10,3 Series,16,48507.6,776121.6,Dealer_46,Asia,Electric,Manual
2019,3,i3,17,49895.4,848221.8,Dealer_19,Europe,Diesel,Manual
2022,12,X1,18,39220.85,705975.2999999999,Dealer_1,Asia,Petrol,Manual
2016,7,M5,25,121012.29,3025307.25,Dealer_4,North America,Hybrid,Automatic
2012,1,5 Series,14,65674.57,919443.9800000001,Dealer_42,Asia,Electric,Manual
2020,12,X6,19,68145.02,1294755.3800000001,Dealer_8,Europe,Electric,Automatic
2014,12,M3,17,83045.66,1411776.22,Dealer_42,Africa,Electric,Manual
2022,8,M5,27,106536.18,2876476.86,Dealer_41,Africa,Electric,Automatic
2010,2,5 Series,17,50863.51,864679.67,Dealer_32,Africa,Diesel,Manual
2019,10,M3,12,73069.47,876833.64,Dealer_45,Africa,Petrol,Manual
2016,8,M5,24,116636.22,2799269.2800000003,Dealer_20,South America,Diesel,Manual
2015,2,Z4,17,58633.21,996764.57,Dealer_35,Europe,Electric,Manual
2016,9,i8,20,158905.93,3178118.5999999996,Dealer_34,Middle East,Petrol,Manual
2022,4,M5,25,122774.47,3069361.75,Dealer_12,South America,Diesel,Manual
2018,8,X5,18,60899.38,1096188.8399999999,Dealer_9,South America,Diesel,Manual
2011,9,X3,17,55460.88,942834.96,Dealer_3,North America,Petrol,Automatic
2015,9,7 Series,25,87287.81,2182195.25,Dealer_43,North America,Diesel,Automatic
2010,9,X3,25,52691.87,1317296.75,Dealer_29,Europe,Electric,Automatic
2018,6,M3,26,74302.4,1931862.4,Dealer_14,Africa,Petrol,Manual
2013,1,X1,22,32987.51,725725.2200000001,Dealer_14,Europe,Diesel,Automatic
2014,3,Z4,27,54334.69,1467036.6300000001,Dealer_5,South America,Hybrid,Automatic
2016,11,7 Series,25,86701.51,2167537.75,Dealer_6,Asia,Electric,Manual
2018,4,5 Series,24,59887.88,1437309.1199999999,Dealer_18,Africa,Diesel,Automatic
2019,11,M5,17,120346.01,2045882.17,Dealer_39,Europe,Electric,Manual
2015,7,X6,19,63544.11,1207338.09,Dealer_39,Europe,Petrol,Automatic
2011,9,5 Series,25,60785.66,1519641.5,Dealer_27,North America,Hybrid,Manual
2015,6,X3,22,45307.15,996757.3,Dealer_15,Asia,Petrol,Manual
2016,4,X6,20,82987.44,1659748.8,Dealer_8,Europe,Hybrid,Automatic
2011,9,X5,23,72158.88,1659654.2400000002,Dealer_19,South America,Hybrid,Manual
2024,1,7 Series,30,84608.91,2538267.3000000003,Dealer_49,Middle East,Diesel,Automatic
2022,12,M5,21,124992.01,2624832.21,Dealer_35,South America,Electric,Automatic
2019,3,X3,24,43336.76,1040082.24,Dealer_33,Africa,Diesel,Manual
2012,7,M3,18,78443.87,1411989.66,Dealer_4,Africa,Hybrid,Manual
2020,10,X6,23,77842.52,1790377.9600000002,Dealer_12,Middle East,Hybrid,Automatic
2018,5,X3,16,56917.68,910682.88,Dealer_34,Africa,Diesel,Automatic
2020,2,X3,20,49053.81,981076.2,Dealer_21,North America,Petrol,Manual
2021,4,5 Series,26,52224.37,1357833.62,Dealer_4,North America,Hybrid,Automatic
2022,1,X6,22,77217.69,1698789.1800000002,Dealer_47,Europe,Electric,Automatic
2018,11,M5,32,122474.54,3919185.28,Dealer_45,North America,Electric,Manual
2019,4,Z4,21,45109.35,947296.35,Dealer_28,Africa,Hybrid,Manual
2021,11,i8,16,154731.28,2475700.48,Dealer_3,South America,Electric,Manual
2020,9,X1,18,33335.55,600039.9,Dealer_24,Europe,Hybrid,Manual
2016,8,X6,22,66580.16,1464763.52,Dealer_8,Asia,Diesel,Manual
2014,5,i3,19,44462.86,844794.34,Dealer_14,North America,Electric,Manual
2024,5,M5,13,110739.16,1439609.08,Dealer_3,Middle East,Electric,Manual
2015,1,M3,23,72667.43,1671350.89,Dealer_20,Asia,Petrol,Manual
2015,12,7 Series,16,86752.74,1388043.84,Dealer_1,North America,Electric,Automatic
2013,2,i8,18,147601.38,2656824.84,Dealer_10,Middle East,Petrol,Automatic
2010,3,M5,28,102379.24,2866618.72,Dealer_31,Middle East,Hybrid,Automatic
2015,7,7 Series,26,90178.9,2344651.4,Dealer_18,North America,Electric,Automatic
2012,3,X5,19,73068.28,1388297.32,Dealer_1,Asia,Diesel,Manual
2013,5,3 Series,13,39484.37,513296.81000000006,Dealer_27,Africa,Hybrid,Manual
2012,11,X1,13,41457.95,538953.35,Dealer_43,Asia,Petrol,Automatic
2017,9,i3,17,51297.57,872058.69,Dealer_46,Europe,Hybrid,Automatic
2018,12,Z4,18,57645.94,1037626.92,Dealer_25,Europe,Petrol,Manual
2022,1,7 Series,16,80466.32,1287461.12,Dealer_33,North America,Diesel,Manual
2020,6,X6,18,83505.21,1503093.78,Dealer_48,North America,Electric,Automatic
2014,5,i3,19,41615.3,790690.7000000001,Dealer_28,Europe,Diesel,Manual
2013,5,5 Series,17,63758.75,1083898.75,Dealer_45,Europe,Electric,Manual
2017,12,5 Series,17,61068.89,1038171.13,Dealer_33,South America,Diesel,Manual
2023,10,M5,23,114486.03,2633178.69,Dealer_15,North America,Diesel,Automatic
2010,5,X1,17,41255.53,701344.01,Dealer_28,North America,Diesel,Manual
2023,1,X6,15,71553.24,1073298.6,Dealer_20,Africa,Diesel,Manual
2015,7,i3,27,41328.22,1115861.94,Dealer_28,Africa,Petrol,Automatic
2011,5,X5,13,63970.84,831620.9199999999,Dealer_23,Africa,Electric,Manual
2015,1,7 Series,18,77542.67,1395768.06,Dealer_4,Africa,Hybrid,Manual
2014,8,X3,25,56282.14,1407053.5,Dealer_7,Middle East,Diesel,Automatic
2017,6,X5,22,64434.96,1417569.1199999999,Dealer_7,Africa,Petrol,Manual
2015,6,Z4,15,57150.53,857257.95,Dealer_48,South America,Hybrid,Manual
2020,5,X1,18,37635.44,677437.92,Dealer_6,North America,Diesel,Manual
2010,10,M5,13,120248.39,1563229.07,Dealer_13,Africa,Electric,Manual
2011,9,M3,18,70200.86,1263615.48,Dealer_47,Middle East,Diesel,Manual
2010,3,X1,12,35891.23,430694.76,Dealer_46,Asia,Hybrid,Automatic
2017,11,Z4,20,46761.43,935228.6,Dealer_28,North America,Electric,Automatic
2018,9,3 Series,22,39903.38,877874.36,Dealer_18,Africa,Diesel,Automatic
2010,10,3 Series,18,47809.32,860567.76,Dealer_45,Europe,Electric,Automatic
2020,9,i8,27,166804.61,4503724.47,Dealer_11,Middle East,Electric,Automatic
2016,10,X3,16,46179.71,738875.36,Dealer_1,Europe,Diesel,Manual
2024,9,i3,24,47301.54,1135236.96,Dealer_47,South America,Hybrid,Automatic
2023,4,X3,21,53398.87,1121376.27,Dealer_36,North America,Diesel,Manual
2010,9,X1,19,34564.35,656722.65,Dealer_41,Europe,Hybrid,Manual
2014,1,M5,20,125370.75,2507415.0,Dealer_14,South America,Petrol,Manual
2020,6,M5,20,113562.53,2271250.6,Dealer_24,Asia,Petrol,Automatic
2021,3,X6,15,81865.05,1227975.75,Dealer_19,Asia,Petrol,Manual
2023,6,X1,31,39170.01,1214270.31,Dealer_18,Europe,Hybrid,Manual
2018,11,M3,22,65235.3,1435176.6,Dealer_48,Africa,Electric,Automatic
2023,11,M5,21,113536.76,2384271.96,Dealer_14,Middle East,Diesel,Automatic
2014,4,M3,17,76225.81,1295838.77,Dealer_49,Middle East,Diesel,Automatic
2013,12,Z4,19,51508.55,978662.4500000001,Dealer_10,Middle East,Petrol,Automatic
2012,8,7 Series,15,97297.75,1459466.25,Dealer_12,Europe,Electric,Manual
2020,5,3 Series,16,41708.02,667328.32,Dealer_12,Middle East,Diesel,Manual
2012,2,X6,17,68150.33,1158555.61,Dealer_42,Middle East,Petrol,Manual
2021,1,M3,26,65094.33,1692452.58,Dealer_25,North America,Petrol,Manual
2022,11,3 Series,22,39465.46,868240.12,Dealer_50,North America,Hybrid,Manual
2020,10,3 Series,19,47784.25,907900.75,Dealer_1,North America,Hybrid,Manual
2013,3,i3,19,50755.57,964355.83,Dealer_29,Europe,Hybrid,Automatic
2017,3,X1,22,32086.69,705907.1799999999,Dealer_45,Asia,Petrol,Manual
2023,1,5 Series,25,58486.59,1462164.75,Dealer_7,South America,Electric,Manual
2010,4,3 Series,23,40656.11,935090.53,Dealer_25,Europe,Hybrid,Automatic
2013,11,X6,17,77422.09,1316175.53,Dealer_46,North America,Electric,Manual
2011,4,5 Series,17,65281.7,1109788.9,Dealer_19,Asia,Petrol,Automatic
2011,6,5 Series,25,64277.18,1606929.5,Dealer_39,Europe,Diesel,Automatic
2018,6,M3,24,66808.68,1603408.3199999998,Dealer_28,Europe,Hybrid,Automatic
2015,2,X3,20,56393.77,1127875.4,Dealer_43,Asia,Hybrid,Manual
2022,1,7 Series,14,96333.49,1348668.86,Dealer_10,Asia,Diesel,Automatic
2017,12,i3,29,51497.77,1493435.3299999998,Dealer_8,South America,Electric,Automatic
2012,2,X5,18,77898.05,1402164.9000000001,Dealer_12,Middle East,Hybrid,Automatic
2017,7,i3,21,49861.18,1047084.78,Dealer_27,South America,Hybrid,Manual
2022,11,X1,25,35523.44,888086.0,Dealer_36,Middle East,Electric,Manual
2016,2,M3,21,78013.34,1638280.14,Dealer_34,South America,Diesel,Manual
2013,6,3 Series,25,40361.32,1009033.0,Dealer_2,Asia,Electric,Manual
2024,2,3 Series,26,49283.16,1281362.1600000001,Dealer_24,Europe,Hybrid,Automatic
2012,9,X6,19,68092.45,1293756.55,Dealer_15,North America,Diesel,Manual
2021,12,7 Series,22,86125.25,1894755.5,Dealer_2,Africa,Electric,Automatic
2010,12,5 Series,21,60435.33,1269141.93,Dealer_5,Middle East,Diesel,Manual
2012,6,7 Series,11,78514.33,863657.63,Dealer_5,North America,Electric,Manual
2022,3,i3,22,50538.03,1111836.66,Dealer_48,South America,Hybrid,Automatic
2016,12,X5,26,67157.49,1746094.7400000002,Dealer_42,Africa,Petrol,Automatic
2011,3,3 Series,17,48902.58,831343.86,Dealer_3,South America,Diesel,Manual
2010,7,X6,24,77277.97,1854671.28,Dealer_30,South America,Hybrid,Automatic
2021,4,X6,22,82560.45,1816329.9,Dealer_18,North America,Electric,Manual
2021,4,X6,16,75999.92,1215998.72,Dealer_15,Middle East,Diesel,Manual
2023,12,i3,25,46945.12,1173628.0,Dealer_42,Africa,Electric,Automatic
2012,1,X5,24,71109.62,1706630.88,Dealer_13,Asia,Petrol,Manual
2011,6,M3,25,79354.74,1983868.5000000002,Dealer_22,North America,Diesel,Automatic
2012,9,5 Series,23,50577.77,1163288.71,Dealer_39,North America,Hybrid,Manual
2018,4,M5,29,123769.86,3589325.94,Dealer_16,Asia,Petrol,Manual
2019,8,3 Series,12,38405.42,460865.04,Dealer_6,Asia,Petrol,Automatic
2022,5,X6,26,73504.54,1911118.0399999998,Dealer_21,Middle East,Hybrid,Manual
2021,11,5 Series,25,54966.75,1374168.75,Dealer_48,South America,Petrol,Manual
2010,10,X6,19,73016.01,1387304.19,Dealer_3,Asia,Diesel,Manual
2020,8,5 Series,32,64105.86,2051387.52,Dealer_6,Africa,Diesel,Manual
2022,11,M5,29,98937.17,2869177.93,Dealer_46,Europe,Hybrid,Automatic
2022,3,X5,22,64171.41,1411771.02,Dealer_40,Middle East,Petrol,Automatic
2013,4,M3,18,75744.42,1363399.56,Dealer_10,South America,Electric,Manual
2022,1,7 Series,24,96041.09,2304986.16,Dealer_20,South America,Petrol,Automatic
2011,8,X5,24,61809.49,1483427.76,Dealer_19,Europe,Petrol,Automatic
2019,6,X5,19,60239.97,1144559.43,Dealer_12,Africa,Electric,Automatic
2017,5,i3,20,49278.94,985578.8,Dealer_9,North America,Electric,Manual
2015,5,X6,19,71589.7,1360204.3,Dealer_40,Africa,Diesel,Automatic
2015,9,M3,30,82992.94,2489788.2,Dealer_24,North America,Electric,Automatic
2014,11,3 Series,19,45619.73,866774.8700000001,Dealer_42,North America,Diesel,Manual
2012,2,X3,12,48611.83,583341.96,Dealer_37,Middle East,Petrol,Manual
2016,8,M5,16,97445.35,1559125.6,Dealer_30,Middle East,Electric,Manual
2011,3,Z4,20,46625.22,932504.4,Dealer_26,Middle East,Diesel,Automatic
2015,2,X5,17,65177.26,1108013.42,Dealer_39,Middle East,Diesel,Automatic
2011,5,i3,23,41016.81,943386.6299999999,Dealer_10,Middle East,Diesel,Manual
2015,10,3 Series,25,50246.42,1256160.5,Dealer_50,Middle East,Petrol,Automatic
2022,7,i3,25,43381.18,1084529.5,Dealer_14,North America,Electric,Automatic
2014,11,7 Series,23,78631.58,1808526.34,Dealer_5,Asia,Electric,Manual
2014,12,i3,20,52262.4,1045248.0,Dealer_34,Europe,Hybrid,Manual
2023,1,5 Series,18,64266.78,1156802.04,Dealer_28,Asia,Hybrid,Manual
2013,6,X6,18,73114.13,1316054.34,Dealer_35,Africa,Diesel,Automatic
2015,12,M3,16,71171.9,1138750.4,Dealer_1,South America,Diesel,Manual
2021,11,M3,20,75946.76,1518935.2,Dealer_21,Africa,Hybrid,Manual
2012,8,7 Series,15,89235.86,1338537.9,Dealer_21,North America,Electric,Automatic
2018,12,3 Series,21,50251.81,1055288.01,Dealer_9,Africa,Electric,Manual
2010,4,Z4,21,59685.48,1253395.08,Dealer_27,Africa,Diesel,Automatic
2013,6,X1,22,41499.96,912999.12,Dealer_44,South America,Petrol,Automatic
2023,6,3 Series,16,41604.5,665672.0,Dealer_20,South America,Petrol,Automatic
2020,8,X6,22,71618.12,1575598.64,Dealer_23,South America,Electric,Automatic
2011,3,i3,19,46283.18,879380.42,Dealer_12,South America,Diesel,Automatic
2016,5,M5,26,116189.35,3020923.1,Dealer_28,Africa,Hybrid,Manual
2011,2,5 Series,20,60218.81,1204376.2,Dealer_40,Middle East,Petrol,Automatic
2021,10,i8,25,130187.49,3254687.25,Dealer_29,South America,Petrol,Automatic
2023,7,X1,22,33840.23,744485.06,Dealer_30,South America,Electric,Manual
2013,8,5 Series,17,55285.13,939847.21,Dealer_30,Middle East,Electric,Manual
2015,4,i8,22,137911.39,3034050.58,Dealer_43,Asia,Hybrid,Automatic
2020,4,3 Series,21,49142.36,1031989.56,Dealer_27,North America,Petrol,Manual
2012,6,i8,16,160441.44,2567063.04,Dealer_39,Asia,Hybrid,Manual
2019,7,X1,20,37335.27,746705.3999999999,Dealer_26,Europe,Electric,Manual
2022,10,X6,11,65706.28,722769.08,Dealer_41,Middle East,Diesel,Automatic
2024,6,i8,24,132654.63,3183711.12,Dealer_15,North America,Diesel,Manual
2020,10,X6,17,80703.65,1371962.0499999998,Dealer_41,Asia,Diesel,Automatic
2013,2,5 Series,17,49923.06,848692.02,Dealer_1,Africa,Diesel,Manual
2019,12,i8,19,164664.96,3128634.2399999998,Dealer_6,South America,Electric,Manual
2021,12,7 Series,26,101577.06,2641003.56,Dealer_41,Africa,Hybrid,Manual
2013,11,X1,19,34617.69,657736.1100000001,Dealer_35,Europe,Electric,Automatic
2020,1,X3,25,44394.67,1109866.75,Dealer_10,Africa,Petrol,Manual
2011,8,M3,17,65576.37,1114798.29,Dealer_10,Asia,Hybrid,Manual
2011,2,i3,20,51902.42,1038048.3999999999,Dealer_14,Middle East,Petrol,Automatic
2022,1,X6,26,64545.1,1678172.5999999999,Dealer_41,North America,Diesel,Automatic
2016,6,M5,19,123111.53,2339119.07,Dealer_11,Europe,Hybrid,Manual
2024,3,M5,26,112369.76,2921613.76,Dealer_39,North America,Petrol,Automatic
2015,8,M3,20,75599.85,1511997.0,Dealer_1,Europe,Hybrid,Manual
2013,10,3 Series,29,44553.02,1292037.5799999998,Dealer_34,South America,Diesel,Manual
2023,6,5 Series,29,64326.44,1865466.76,Dealer_2,Asia,Diesel,Manual
2011,12,Z4,21,59097.72,1241052.12,Dealer_18,Asia,Electric,Manual
2011,6,Z4,21,53272.46,1118721.66,Dealer_19,Middle East,Electric,Automatic
2018,7,X1,16,34125.98,546015.68,Dealer_13,Africa,Hybrid,Automatic
2011,10,M3,24,69543.29,1669038.96,Dealer_14,Africa,Electric,Automatic
